path,term,raw_coefficient,standardized_coefficient,training_mean,training_sd
Sleep efficiency → Daily stress,Intercept,39.84431247986278,36.714285714285715,,
Sleep efficiency → Daily stress,Efficiency,-0.03777813914347199,-0.2736874095246763,82.85285714285713,7.244597424062618
Sleep efficiency + TST → Daily stress,Intercept,40.194576916047936,36.714285714285715,,
Sleep efficiency + TST → Daily stress,Efficiency,-0.1912764827252827,-1.3857211140353407,82.85285714285713,7.244597424062618
Sleep efficiency + TST → Daily stress,Total Sleep Time (TST),0.0366444796926335,2.8169895793601927,337.5,76.87350463121683
Sleep fragmentation → Daily stress,Intercept,17.223860633422625,36.714285714285715,,
Sleep fragmentation → Daily stress,Sleep Fragmentation Index,0.7506133051245124,9.019695193547497,25.966,12.016433937380448
Activity inputs → Sleep efficiency,Intercept,73.00680062448859,82.85285714285713,,
Activity inputs → Sleep efficiency,screen_events,-1.3116103153479366,-1.9108361691967757,2.142857142857143,1.4568627181693672
Activity inputs → Sleep efficiency,caffeine_events,-8.881784197001252e-16,-8.881784197001252e-16,0.0,1.0
Activity inputs → Sleep efficiency,alcohol_events,-2.029804283013722,-2.0910181204463987,1.2857142857142858,1.0301575072754257
Activity inputs → Sleep efficiency,exercise_events,3.189993698684249,5.5486730625547285,4.785714285714286,1.7393993802694172
Sleep efficiency → STAI1,Intercept,-13.8268167744503,34.21428571428571,,
Sleep efficiency → STAI1,Efficiency,0.5798364008847907,4.200681296227694,82.85285714285713,7.244597424062618
Sleep efficiency → STAI2,Intercept,-4.716825423896324,37.28571428571428,,
Sleep efficiency → STAI2,Efficiency,0.5069534251207377,3.6726734777494174,82.85285714285713,7.244597424062618
